dep,type,idx,name,latitude,longitude
Seine-et-Marne,C,243,Quartier centre de détention du centre pénitentiaire du Sud Francilien,48.6022572,2.5914315422660916
Seine-et-Marne,C,244,Quartier centre de détention du centre pénitentiaire de Meaux-Chauconin-Neufmontiers,48.9616353,2.8655815250459993
Seine-et-Marne,C,245,Centre de détention de Melun,48.535016999999996,2.6616422906675026
Tarn,C,246,Centre de détention de Saint-Sulpice-la-Pointe,43.7751461,1.689427966865101
Var,C,247,Quartier centre de détention du centre pénitentiaire de Toulon-La Farlède,43.15857185,6.056813740287114
Vaucluse,C,248,Quartier centre de détention du centre pénitentiaire d’Avignon-Le Pontet,43.9689913,4.863238544847514
Vienne,C,249,Quartier centre de détention du centre pénitentiaire de Poitiers-Vivonne,46.4134051,0.24128725378547078
Yonne,C,250,Centre de détention de Joux-la-Ville,47.618894350000005,3.8114157371371116
Guadeloupe,C,251,Quartier centre de détention du centre pénitentiaire de Baie-Mahault,16.26401955,-61.57247935
Martinique,C,252,Quartier centre de détention du centre pénitentiaire de Ducos,14.5765436,-60.99153995955844
Guyane,C,253,Quartier centre de détention du centre pénitentiaire de Rémire-Montjoly,4.8735315,-52.299281574510346
La Réunion,C,254,Centre de détention du Port,-20.9525444,55.313971820808916
La Réunion,C,255,Quartier centre de détention du centre pénitentiaire de Saint-Denis,-20.919261149999997,55.50468410818293
Saint-Pierre-et-Miquelon,C,256,Quartier centre de détention du centre pénitentiaire de Saint-Pierre,46.781175,-56.1708112
Mayotte,C,257,Quartier centre de détention du centre pénitentiaire de Majicavo,-12.75066305,45.228176574858345
Polynésie française,C,258,Quartier centre de détention du centre pénitentiaire de Faa’a-Nuutania,-17.55685045,-149.5898852802626
Polynésie française,C,259,Centre de détention Tatutu de Papeari,-17.73777,-149.33808283851465
Polynésie française,C,260,Quartier centre de détention du centre pénitentiaire de Taiohae,-8.9137449,-140.0943209
Polynésie française,C,261,Quartier centre de détention du centre pénitentiaire d’Uturoa,-16.729909,-151.4461513414802
Nouvelle-Calédonie,C,262,Centre de détention de Koné,-21.0729951,164.85112492336225
Nouvelle-Calédonie,C,263,Quartier centre de détention du centre pénitentiaire de Nouméa,-22.27124375,166.424398113832
Aisne,D,264,Quartier maison centrale du centre pénitentiaire de Château-Thierry,49.05008215,3.397028143907563
Allier,D,265,Quartier maison centrale du centre pénitentiaire de Moulins-Yzeure,46.537681899999995,3.3552877566214594
Aube,D,266,Maison centrale de Clairvaux,48.1480126,4.788895650356954
Bouches-du-Rhône,D,267,Maison centrale d’Arles,43.70703295,4.635979468101226
Charente-Maritime,D,268,Maison centrale de Saint-Martin-de-Ré,46.20141649999999,-1.3609980408004245
Drôme,D,269,Quartier maison centrale du centre pénitentiaire de Valence,44.911139399999996,4.929394074718273
Indre,D,270,Maison centrale de Saint-Maur,46.79530665,1.6332577483336421
Orne,D,271,Quartier maison centrale du centre pénitentiaire d’Alençon-Condé-sur-Sarthe,48.43970765,0.010139113372974082
Pas-de-Calais,D,272,Quartier maison centrale du centre pénitentiaire de Vendin-le-Vieil,50.45873215,2.821499058493697
Hautes-Pyrénées,D,273,Quartier maison centrale du centre pénitentiaire de Lannemezan,43.11053815,0.37586900639392884
Haut-Rhin,D,274,Maison centrale d’Ensisheim,47.864444750000004,7.351605157282107
Seine-et-Marne,D,275,Quartier maison centrale du centre pénitentiaire du Sud Francilien,48.6022572,2.5914315422660916
Yvelines,D,276,Maison centrale de Poissy,48.9278591,2.039201315354628
Doubs,E,277,Centre de semi-liberté de Besançon,47.2507005,6.0225279
