Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Sergey Golovkin,"The Fisher, The Boa, Chikatilo,s Apprentice",36.0,1959-11-26,"Moscow, Soviet Union",1996-08-02,"Butyrka Prison, Moscow, Russia",Murder With Aggravating Circumstances,death,1992-10-19
Tiago Henrique Gomes Da Rocha,,,1988-02-04,"Goinia, Brazil",,,,25 years,2014-10-01
Herb Baumeister,,49.0,1947-04-07,,1996-07-03,"Pinery Provincial Park, Ontario, Canada",,,
Zhang Yongming,"The Cannibal Killer, Cannibal Monster",,,China,,"Yunnan, China","Intentional Homicide, Cannibalism",death,2012-05-09
Jack Unterweger,,43.0,1950-08-16,occupied Austria,1994-06-29,"Karlau Prison, Graz, Styria, Austria",Murder,life imprisonment,1992-02-27
Vaughn Greenwood,Skid Row Slasher,76.0,1944-01-19,,2020-12-18,"s Colony, San Luis Obispo, California","Assault, Murder, Attempted Murder",life imprisonment,1975-02-03
Anthony Sowell,,61.0,1959-08-19,,2021-02-08,,Seually Motivated Aggravated Murder Attempted Murder Kidnapping Rape Attempted Rape Abuse Of A Corpse Tampering With Evidence,death,2009-10-31
Henri Désiré Landru,"The Bluebeard of Gambais; many pseudonyms, including , Monsieur Diard, Dupont",52.0,1869-04-12,"Paris, France",1922-02-25,"Versailles, France",Assassination November,death(30 November 1921),1919-04-12
Nannie Doss,"The Giggling Nanny, The Giggling Granny, The Jolly Black Widow, The Lonely Hearts Killer",59.0,1905-11-04,"Blue Mountain, Alabama, United States",1965-06-02,"Oklahoma State Penitentiary, McAlester, Oklahoma, United States",,life imprisonment,1954-10-01
Marie Alexandrine Becker,"The Black Widow, The Belgian Borgia",62.0,1879-07-14,"Waasmont, Landen, Belgium",1942-06-11,occupied Belgium,Murder,life imprisonment,1936-10-16
Seisaku Nakamura,Hamamatsu Deaf Killer,,,"Shizuoka, Japan",1943-06-19,Japan,,death,1942-10-12
Robledo Puch,"Carlitos, The Angel, The Death Angel, The Black Angel",,1952-01-19,"Buenos Aires, Argentina",,,Aggravated Murder Attempted Murder Seual Crimes Kidnapping Armed Robbery Theft,life imprisonment (plus accessory of indeterminate reclusion)[note 1],1972-02-04
Clifford Olson,The Beast of British Columbia,71.0,1940-01-01,"Vancouver, British Columbia, Canada",2011-09-30," Laval, Quebec, Canada",Murder,life imprisonment,1981-08-12
Francisco García Escalero,El Matamendigos (The Beggars Killer),66.0,1948-05-24,"Madrid, Spain",2014-08-19,"Alicante, Spain",,"Declared insane, confined to a Psychiatric hospital",1994-04-01
Henry Louis Wallace,,,1965-11-04,,,,"First Degree Murder First Degree Rape Second Degree Rape, First Degree Seual Offense Second Degree Seual Offense",death,1994-03-12
Benjamin Atkins,"The Woodward Corridor Killer, The HighlPark Strangler, Tony",29.0,1968-08-26,,1997-09-17,,"First Degree Murder , First Degree Criminal Seual Conduct",life imprisonment (x11),1992-08-21
Adnan Çolak,Artvin Monster,,1952-09-05,Turkey,,,,"Six death sentences and 40 years imprisonment, commuted to life imprisonment",1995-01-01
Andre Crawford,Southside Strangler,,,,,,Murder,life imprisonment,2000-01-28
Francisco De Assis Pereira,"The Park Maniac, Chico Estrela",,1967-11-29,"So Paulo, So Paulo",,,"Murder, Rape, Concealment Of Death, Violent Indecent Assault",268 years imprisonment,1998-08-04
Barnaul Maniac,"The University Maniac, The Tutor",,,,,,,,
Gao Chengyong,Chinese Jack the Ripper,54.0,1964-11-10,"Yuzhong County, Gansu, China",2019-01-03,"Baiyin, Gansu, China","Murder Seual Assault, Robbery, Defiling Of A Corpse",death,2016-08-26
Yevgeny Petrov,The Novouralsk Ripper,,1975-12-17,"Novouralsk, Sverdlovsk Oblast, RSFSR",,,Murder,life imprisonment,2003-08-08
Ruslan Khamarov,,,,"Berdiansk, Ukrainian SSR, Soviet Union",,,"Murder, Robbery",life imprisonment,2003-03-01
West Mesa Killer,,,,,,,,Never sentenced,
Very Idham Henyansyah,"Ryan, Singing serial killer, The butcher of Jombang",,,"Jombang, Indonesia",,,Murder,death,2008-07-15
Roshu Kha,,,,,,,"Murder, Rape",death,2009-10-07
Martin Lecián,"Terror of Moravia, Moravian horror",26.0,1900-10-31,Hungary,1927-10-06,"Olomouc, Czechoslovakia",Murder,death,1927-04-23
Lonnie David Franklin Jr.,Grim Sleeper25 Auto Killer,67.0,1952-08-30,,2020-03-28,,First-Degree Murder Under Special Circumstances,death,2010-07-07
Rudolf Pleil,The Deathmaker,,,"Brenstein, Erzgebirgskreis, Germany",1958-02-18,"Celle, West Germany",Murder Manslaughter,life imprisonment,1947-04-01
Milton Johnson,"The Morning murderer, The Weekend murderer",,1950-05-15,"Joliet, Illinois, United States",,,Murder,"death, commuted to life imprisonment",1984-03-09
Daniel Lee Siebert,The Southside Slayer,53.0,1954-06-17,,2008-04-22,,,death,1986-01-01
Sergey Cherny,"The Beast, The Smolensk Strangler, The Smolensky Chikatilo, The Alien, The Tape Man",24.0,1977-05-11,"Odessa, Ukrainian SSR",2001-06-24,"Sychyovka, Smolensk Oblast, Russia",Murder,Compulsory treatment,1999-12-23
Jeanne Weber,The Ogress,43.0,1874-10-07,France,1918-07-05,,Murder,Not guilty by reason of insanity,1908-05-08
Nikolai Dzhumagaliev,"Metal Fang, Kolya the Maneater, the Almaty Cannibal, Dzhuma, the Satan.",,1952-11-15,"Uzynagash, Kazakh SSR, Soviet Union",,,Not Guilty By Reason Of Insanity,Compulsory treatment,1980-12-19
Bobby Joe Long,"The Classified Ad Rapist, The Adman Rapist",65.0,1953-10-14,,2019-05-23,,"First Degree Murder, Armed Burglary, Aggravated Assault, Kidnapping, Robbery, Seual Battery, September, ,, Seual Battery","death(July 25, 1986)",1984-11-16
Stewart Wilken,Boetie Boer,,1966-11-11,"Boksburg, Gauteng, South Africa",,,,7 life sentence(s),1997-01-01
Viktor Fokin,"The Pensioner Maniac, The Grfather Ripper",,1935-02-19,"Orsk, Novosibirsk Oblast, RSFSR",,"Angarsk Colony, Angarsk, Irkutsk Oblast, Russia",Murder,19 years imprisonment,2000-03-01
David Randitsheni,Modimolle Serial Killer,,,South Africa,,,Of Murder Of Rape Of Kidnapping Count Of Indecent Assault,"16 life sentence(s), 220 years imprisonment",
Edmund Kemper,"Co-ed Killer, Co-ed Butcher, Ogre of Aptos The Mad Titan, Big Ed",,1948-12-18,,,,First-Degree Murder ×,,1964-08-27
Dennis Rader,"BTKBTK Killer, BTK Strangler",,1945-03-09,,,,First Degree Murder –,life imprisonment without the possibility of parole for 175 years(10 consecutive life sentence(s)),2005-02-25
Stanislav Rogolev,"Agent 000, Latvian Agent 007",43.0,1941-02-14,"Ogre District, Latvian SSR",1984-06-19,"Leningrad, RSFSR, Soviet Union",Murder,death,
Oleg Kuznetsov,"The Balashikha Ripper, False Dmitry, Dmitry Fadeev",31.0,1969-04-30,"Balashikha, Moscow Oblast, RSFSR",2000-08-04,"Mordovian Zone, Sosnovka, Mordovia, Russia","Murder, Rape","death, commuted to life imprisonment",1992-03-26
Satish,The Bahadurgarh baby killer,,,"Ghaziabad, Uttar Pradesh, India",,,"Murder, Rape",Life sentence,1998-11-20
Eduard Shemyakov,"The Resort Maniac, Bloody Eddie",,1975-09-30,"Ignatpol, Zhytomyr Oblast, UkSSR",,,Murder,Compulsory treatment,1998-01-01
Ali Kaya,The Babyface Killer,,,"Gaziantep, Turkey",,,,Psychiatric imprisonment 5 years in prison,
Chen Yongfeng,The Butcher,,,"Qingtian County, Zhejiang",2004-04-07,,,death,2003-05-24
Zhou Kehua,"Baotouge (Chinese: 爆头哥; lit. ,Mr. Headshot,  or ,Brother Headshot,)",42.0,1970-02-06,"Jingkou Town, Shapingba District, Chongqing, China",2012-08-14,"Chongqing, China",,,2005-01-01
Kang Ho-Sun,,,1969-10-10,"Seocheon, South Korea",,,"Murder Rape, Arson",death,2009-01-27
Masten Wanjala,,,,"Bungoma, Kenya",,"Bungoma, Kenya",,,
Louis Van Schoor,The Apartheid Killer,,,South Africa,,"East London, South Africa",Murder,20 years imprisonment,
Peter Kürten,"The Vampire of Düsseldorf, The Düsseldorf Monster",,,"Mlheim am Rhein, German Empire",1931-07-02,"Klingelputz Prison, Cologne, Weimar Republic","Murder Attempted Murder Arson, Attempted Robbery, Breaking And Entering, Burglary, Seduction, Theft, Threatening Behaviour",death,1930-05-24
Roger Dale Stafford,,,,,1995-07-01,,First Degree Murder,Execution by lethal injection,
Norman Afzal Simons,Station Strangler,,,"Cape Town, South Africa",,,,"life imprisonment (25 years for murder, 10 years for kidnap)",1994-01-01
Francis Heaulme,The Criminal Backpacker,,1959-02-25,"Metz, France",,,Murder,life imprisonment,
Joel Rifkin,Joel the Ripper,,1959-01-20,,,,,203 years to life imprisonment,1993-06-28
Dagmar Overbye,,42.0,1887-04-23,Denmark,1929-05-06,"Denmark, Copenhagen",Murder,"death, commuted to life imprisonment",
Kenneth Mcduff,"The Broomstick Murderer, The Broomstick Killer",,,"Rosebud, Falls County, Texas",,,Murder With Malice Capital Murder,"death, commuted to life with parole (1966) death(1993)",1992-05-04
Robert Joseph Silveria Jr.,"The Boxcar Killer, Sidetrack",,1959-03-03,,,,,life imprisonment,1996-03-02
Dr. No,"Ohio Prostitute Killer, I-71 Killer",,,,,,,,
Richard Biegenwald,The Thrill Killer,,,,2008-03-10,,"First Degree Murder, Murder","death, overturned and re-sentenced to life imprisonment",1983-01-22
New Bedford Highway Killer,,,,,,,,,
Alexander Bychkov,Belinsky Cannibal;Rambo,,1988-04-01,"RSFSR, Soviet Union",,,"Murder, Burglary, Cannibalism",life imprisonment,2012-01-01
Edgecombe County Serial Killer,The Seven Bridges Killer,,,,,,Murder Pittman,life imprisonment (Pittman),
Sergei Martynov,,,1962-06-02,"Nyazepetrovsk, Chelyabinsk Oblast, Soviet Union",,,Murder Rape,life imprisonment,2010-11-18
Lloyd Gomez,"Harry Jenks, The Phantom Hobo Killer, The Hobo Jungle Killer",29.0,1923-12-06,,1953-10-16,,First Degree Murder,death,1952-01-15
Timothy Krajcir,,,1944-11-28,,,,"Murder, Rape",13 consecutive life terms,2007-08-29
Anatoly Utkin,The Ulyanovsky Maniac,,,"Ulyanovsk, Ulyanovsk Oblast, RSFSR",,RSFSR,"Attempted Murder Murder, Robbery",death,1973-02-09
Gilberto Chamba,The Monster of Machala,,,"Machala, El Oro Province, Ecuador",,,Murder,45 years in prison,
Ondrej Rigo,"The International killer, The Sock killer",66.0,1955-12-17,"Modra, Czechoslovakia",2022-06-14,"Trenn, Slovakia",Murder,"life imprisonment (served in Leopoldov, Slovakia)",1992-03-01
Alfred Gaynor,,,1966-12-10,,,,Murder,life imprisonment without parole,1998-04-10
Mark Goudeau,"The Baseline Killer, The Baseline Rapist",,1964-09-06,,,,"First Degree Murder Attempted First Degree Murder, Kidnapping Attempted Kidnapping, Seual Assault Attempted Seual Assault Seual Abuse Aggravated Assault Armed Robbery Attempted Armed Robbery First Degree Burglary",death,2006-09-04
Keith Hunter Jesperson,,,1955-04-06,"Chilliwack, British Columbia, Canada",,,,life imprisonment (without parole),1995-03-30
Rodney Alcala,"Dating Game Killer, John Berger",77.0,1943-08-23,,2021-07-10,,"Battery, Kidnapping, Murder, Probation Violation, Rape, Providing Cannabis To A Minor",,1979-07-24
Ottis Toole,,49.0,1947-03-05,,1996-09-15,,"First-Degree Murder, Arson","Two death sentences plus four life sentence(s), commuted to six life sentence(s) without the possibility of parole (murder convictions) 20 years in prison (arson conviction)",1983-06-15
Kiyotaka Katsuta,Kiyotaka Fujiwara,52.0,1948-08-29,"Kizugawa, Kyoto, Occupied Japan",2000-11-30,"ku, Nagoya, Japan",Murder,death,1983-01-31
Joseph Paul Franklin,The Racist Killer,63.0,1950-04-13,,2013-11-20,,,"life imprisonment x4 (March 23, 1981 & September 1986), death(July 17, 1984 & February 27, 1997)",1980-10-28
Pierre Chanal,,56.0,1946-11-18,"tienne, France",2003-10-15,"Reims, France",Kidnapping And Rape,,1988-08-09
Christopher Wilder,"The Beauty Queen Killer, The Snapshot Killer",39.0,1945-03-13,"Sydney, New South Wales, Australia",1984-04-13,,,,1984-04-13
Axeman Of New Orleans,,,,,,,,,
Vladimir Retunsky,"The Povorino Maniac, The Chikatilo of Khopyor River, The Voronezh Chikatilo",,1950-02-04,"Povorino, Voronezh Oblast, RSFSR",,,Murder,"death, commuted to 15 years imprisonment and released in 2012",1997-02-01
Gilbert Paul Jordan,"The Boozing Barber, Paul Pearce, Gilbert Paul Elsie",,,"Vancouver, British Columbia, Canada",2006-07-07,"Victoria, British Columbia, Canada",Manslaughter,"15 years imprisonment, commuted to 9 years imprisonment",
Frankford Slasher,,,,,,,,Life (Leonard Christopher),1990-05-05
Kendall Francois,"The Poughkeepsie Killer, Stinky",43.0,1971-07-26,,2014-09-11,,First Degree Murder,life imprisonment without parole,1998-09-02
Hilda Nilsson,,,,"Helsingborg, Sweden",1917-08-10,"Landskrona, Sweden",Murder,death,
Yoshio Kodaira,,44.0,1905-01-28,"Tochigi, Tochigi Prefecture, Empire of Japan",1949-10-05,"Miyagi Prison, Sendai, Occupied Japan",Murder,death,1946-08-20
John Christie,"The Rillington Place Strangler, The Monster of Rillington Place",54.0,1899-04-08,"Northowram, West Riding of Yorkshire, England, UK",1953-07-15,"HM Prison Pentonville, London, England, UK",Murder,death,1953-03-31
Eric Edgar Cooke,"The Night Caller, The Nedls Monster",33.0,1931-02-25,"Perth, Western Australia, Australia",1964-10-26,"Fremantle Prison, Fremantle, Western Australia, Australia",Wilful Murder,death,1963-09-01
John Edward Robinson,,,1943-12-27,,,,"Kansas, Capital Murder Missouri, First Degree Murder",KansasdeathMissouriLife without parole,2000-06-02
Bruce Mcarthur,,,1951-10-08,"Lindsay, Ontario, Canada",,,"First-Degree Murder January ,   --",life imprisonment,2018-01-18
Paul Ogorzow,The S-Bahn Murderer,28.0,1912-09-29,"Muntowen, East Prussia, Imperial Germany",1941-07-26,"Pltzensee Prison, Berlin, Nazi Germany",Murder Attempted Murder Assault,death,1941-07-12
Genzo Kurita,,32.0,1926-11-03,"Ogachi District, Akita, Empire of Japan",1959-10-14,"Miyagi Prison, Sendai, Japan",Murder,death,1952-01-16
Marie Noe,,87.0,1928-08-23,,2016-05-05,,Second Degree Murder,20 years probation,1998-01-01
Kiyoshi Okubo,"Gunma,s Stalin",41.0,1935-01-17,"Gunma, Japan",1976-01-22,"Tokyo Detention House, Tokyo, Japan",,death,1971-05-14
Marybeth Tinning,,,1942-09-11,,,,"Second-Degree Murder, July,",20 years to life,
Michael Bruce Ross,"The Roadside Strangler, The Egg Man",45.0,1959-07-26,,2005-05-13,,"Connecticut, Capital Felony New York, First Degree Manslaughter",ConnecticutdeathNew York8 and 1/3 to 25 years imprisonment,1984-06-29
Gary C. Evans,,43.0,1954-10-07,,1998-08-14,,,None (died before trial),1998-05-27
Colonial Parkway Killer,,,,,,,,,
Sean Vincent Gillis,The Other Baton Rouge Killer,,1962-06-24,,,,"First Degree Murder,Second Degree Murder","Life without the possibility of parole, probation or suspension of sentence",2004-04-29
Vladimir Mukhankin,"The Pupil of Chikatilo, Lenin",,1960-04-22,"Zernogradsky District, Rostov Oblast, RSFSR, Soviet Union",,,"Murder With Aggravating Circumstances, Attempted Murder","death, commuted to life imprisonment",
Manuel Delgado Villegas,"El Arropiero, El Estrangulador del Puerto",,,"Seville, Andalusia, Spain",,"Badalona, Catalonia, Spain",Life Sentence,Interned in a mental institution for life,1971-01-18
Ershad Sikder,"Ranga chora, (White theft)",,,,2004-05-10,"Khulna District Jail, Bangladesh","Murder Robbery, Etortion, Theft",deathplus four life sentence(s),1999-01-01
Diego Alexánder Ruiz Restrepo,Psychopath of Meiggs,,1990-03-14,"Cali, Colombia",,,,life imprisonment with a possibility of parole after 40 years,2020-11-09
Ivan Milat,"The Backpacker Killer, The Backpacker Murderer",74.0,1944-12-27,"Guildford, New South Wales, Australia",2019-10-27,"Long Bay Correctional CentreMatraville, New South Wales, Australia","Murder Attempted Murder, False Imprisonment Robbery",7 life sentence(s) without parole (murder)6 years imprisonment (attempted murder)6 years imprisonment (false imprisonment)6 years imprisonment (robbery),1994-05-22
Reta Mays,,,1975-06-16,,,,Second Degree Murder U.S.C. § Assault With Intent To Commit Murder U.S.C. §,7 life terms plus 20 years,2020-07-14
Michael Wayne Mcgray,,,1965-07-11,"Collingwood, Ontario Canada",,,Murder,life imprisonment,
Łódź Gay Murderer,,,,,,,,,
John Floyd Thomas Jr.,"The Westside Rapist, The SouthlStrangler, Willie Eugene Wilson",,1936-07-26,,,,,Seven consecutive life sentence(s) without the possibility of parole,2009-03-31
Kenneth Erskine,The Stockwell Strangler,,1963-07-01,"Hammersmith, London, England",,,,Detention at Broadmoor Hospital but moved to Thornford Park Hospital,1986-07-28
David Carpenter,The Trailside Killer,,1930-05-06,,,,"Attempted Murder, Attempted Rape, Kidnapping, Murder, Rape, Robbery",death,1981-05-14
Vladimir Kuzmin,Syosvoski,,1965-09-14,"Moscow, RSFSR",,,"Murder, Manslaughter",life imprisonment,
Tommy Recco,"Tommy, Geronimo",,1934-05-10,"Propriano, Corsica, France",,,Murder,life imprisonment,
Derrick Todd Lee,The Baton Rouge Serial Killer,47.0,1968-11-05,,2016-01-21,,"Assault, Burglary, Murder, Stalking, Trespassing, Voyeurism",death,2003-05-27
Tomás Maldonado Cera,The Satanist,,,"Barranquilla, Atlntico Department, Colombia",,,Murder,,
Peter Manuel,The Beast of Birkenshaw,31.0,1927-03-13,"New York City, New York, United States",1958-07-11,"HM Prison Barlinnie, Glasgow, Scotland","Capital Murder, Rape, Seual Assault",deathby hanging,1958-01-14
Terry Blair,,62.0,1961-09-16,,2024-05-11,,Second Degree Murder Si Of First Degree Murder,"25 years imprisonment (1982, paroled after 21 years)Six consecutive life sentence(s) without the possibility of parole (2008)",2004-09-14
Doug Clark,"The Hollywood Slasher, The Sunset Strip Killer, The Sunset Strip Slayer",75.0,1948-03-10,,2023-10-11,,First Degree Murder With Special Circumstances,death,1980-08-11
Stanisław Modzelewski,The Vampire of Gałkówek,40.0,1929-03-15,"Szczepankowo, Poland",1969-11-13,s Republic,Murder Attempted Murder,death,1967-01-01
Michael Hughes,Southside Slayer,,,,,,,,1993-01-01
Roger Kibbe,I-5 Strangler,81.0,1939-05-21,,2021-02-28,,First Degree Murder With Special Circumstances First Degree Murder,6 life sentence(s) without parole plus 25 years,
Connecticut River Valley Killer,,,,,,,,,
Paul Durousseau,The Jacksonville Strangler,,1970-08-11,,,,First Degree Murder,"death, commuted to life imprisonment",2003-06-17
Todd Kohlhepp,,,1971-03-07,,,,"Arizona, Kidnapping, South Carolina, Murder Kidnapping First Degree Criminal Seual Conduct","Arizona, 15 years imprisonmentSouth Carolina, life imprisonment without parole",2016-11-03
Darren Deon Vann,Donald Vann,,1971-03-21,,,,Murder,Life in prison without parole(seven concurrent terms),2014-10-18
Aileen Wuornos,"Sra Kretsch, Susan Lynn Blahovec, Lee Blahovec, Cammie Marsh Greene, Lori Kristine Grody",46.0,1956-02-29,,2002-10-09,,Of First-Degree Murder,6 death sentences,1991-01-09
Hu Daoping,Wu Jun,,,Chongqing,2006-04-14,,Murder,death,2005-09-10
José Misael Roldán Concha,,,,"Mfil, Valdivia Province, Chile",,"Isla Teja, Valdivia, Chile",,deathpenalty (nullified by a presidential pardon)Life in prison,
Sataro Fukiage,Shinshūmaro,,,"Kyoto Prefecture, Empire of Japan",1926-09-28,"Ichigaya Prison Tokyo, Empire of Japan",Murder,death,1924-01-01
Joseph Taborsky,Mad Dog,36.0,1924-03-23,,1960-05-17,,First Degree Murder,death,1957-02-23
Václav Mrázek,,32.0,1925-10-22,"Svinaov, Czechoslovakia",1957-12-29,"Pankrc Prison, Prague, Czechoslovakia",Murder,death,1957-03-17
Anatoly Slivko,,50.0,1938-12-28,"Izerbash, Dagestan ASSR, Russian SFSR, USSR",1989-09-16,"Novocherkassk prison, Novocherkassk, Russian SFSR, USSR",Murder With Aggravating Circumstances,,1985-12-28
Cincinnati Strangler,,,,,,,First Degree Murder,"death, commuted to life imprisonment",1966-12-01
Paul Steven Haigh,,,1957-09-05,,,,Murder,Life without parole,1979-01-01
Aleksey Sukletin,"The Alligator, The Vassilyevo Cannibal, The Kazan Ogre, The Volga Alligator",44.0,1943-03-23,"Kazan, Tatar ASSR, Russian SFSR, Soviet Union",1987-07-29,"Kazan, Tatar ASSR, Russian SFSR, Soviet Union","Murder With Aggravating Circumstances, Cannibalism",death,1985-06-04
Roberto Succo,"The Monster of Mestre, The Killer with the Eyes of Ice, The Full Moon Assassin, The Cherubino Nero, Roberto Kurt",26.0,1962-04-03,"Mestre, Venice, Italy",1988-05-23,"Vicenza, Italy",Murder,Never tried,1988-02-28
Walter E. Ellis,"The Milwaukee North Side Strangler, Wodell",53.0,1960-06-24,,2013-12-01,,,Seven consecutive life sentence(s) without the possibility of parole,2009-09-07
Harrison Graham,"Marty, “Frank” “junior”",,1959-09-09,,,,", Murder, Desecrating A Corpse","death, commuted to life",1987-08-17
Guy Georges,The Beast of the Bastille,,1962-10-15,"Franois, France",,,,22 years to life imprisonment (5 April 2001),1998-03-26
Motta Navas,,,,"Kollam, India",,,,,
Paul Dennis Reid,"The Fast Food Killer, Justin Parks",55.0,1957-11-12,,2013-11-01,,First Degree Murder,death,1997-06-25
Samuel Sidyno,Capital Park Serial Killer,,,South Africa,,,,"7 life sentence(s), effectively 40 years",1999-01-06
Ripper Jayanandan,Ripper,,,"Thrissur, Kerala, India",,,Murder,deathby hanging,2006-11-23
Sibusiso Duma,,,1984-05-06,South Africa,,,,8 life sentence(s) + 139 years,2007-01-01
Tommy Lynn Sells,The Coast-to-Coast Killer,49.0,1964-06-28,,2014-04-03,,"Felony Theft, Grand Theft Auto, Malicious Wounding, Capital Murder, Public Intoication, Theft September,","death(September 20, 2000)",2000-01-02
Volker Eckert,,,,", East Germany",,"Bayreuth, Bavaria, Germany",Attempted Murder,None (Killed himself before sentencing),2006-11-17
Lorenzo Gilyard,The Kansas City Strangler,,1950-05-24,,,,First Degree Murder,life imprisonment without parole,2004-01-01
Władysław Mazurkiewicz,,45.0,1911-01-31,"Krakw, Poland",1957-01-29,s Republic,Murder,death,
Gong Runbo,,,,China,2006-12-31,China,Murder,death,2006-02-28
The Doodler,The Black Doodler,,,,,,,,
Cristopher Chávez Cuellar,The Soulless,,,"Puerto Leguzamo, Putumayo Department, Colombia",,,Murder,40 years imprisonment,2015-02-01
András Pándy,,86.0,1927-06-01,"Chop, Czechoslovakia",2013-12-23,"Bruges, Belgium","Murder Attempted Murder, Rape",life imprisonment without parole,1997-10-01
John Wayne Glover,"The Granny Killer, The Monster of Mosman",72.0,1932-11-26,"Wolverhampton, UK",2005-09-09,"Lithgow Correctional Centre, Lithgow, New South Wales, Australia",Murder,6 life sentence(s) without the possibility of parole,1990-03-19
Alexander Sergeychik,,,,"Semyonovka, Byerastavitsa District, BSSR",2007-11-26,"Pishchalauski Castle, Minsk, Belarus",Murder With Aggravating Circumstances,death,
Adrián Arroyo Gutiérrez,"The Southern Psychopath, The Indingent Killer",,,"San Jos, Costa Rica",,,Murder,110 years imprisonment,2015-12-01
Joseph Naso,"Crazy Joe, The Double Initial Killer",,1934-01-07,,,,First Degree Murder With Special Circumstances Theft,deathPenalty (de jure),2011-04-11
John George Haigh,Acid Bath Murderer,40.0,1909-07-24,"Stamford, Lincolnshire, England",1949-08-10,"Wandsworth Prison, England",Murder,Execution by hanging,1949-01-01
Jack The Stripper,Ann Phillips,21.0,1938-03-24,"Bebington, Cheshire, England",1959-06-17,"London, England",,,
Morris Solomon Jr.,The Sacramento Slayer,80.0,1944-03-15,,2024-08-01,,First Degree Murder With Special Circumstances Second Degree Murder,death,1987-04-22
Mack Ray Edwards,,,,,,,First-Degree Murder Kidnapping,death,1970-03-06
Terry Peder Rasmussen,"Robert , Bob, Evans  Curtis Mayo Kimball  Gordon Jensen  Lawrence , Larry, William Vanner  Gerald , Gerry, Mockerman",,1943-12-23,,,,,,2002-01-01
Robert Berdella,"The Kansas City Butcher, The Collector",43.0,1949-01-31,,1992-10-08,,"First-Degree Murder  × Second-Degree Murder  × Selling Amphetamines, Sodomy, Assault, Seual Assault",life imprisonment without parole (1988),1988-04-02
Juan Chavez,Job Rocha,,,"Ciudad Juarez, Mexico",1999-09-09,,First Degree Murder With Special Circumstances,life imprisonment without parole,
David Berkowitz,"The Son of Sam, The .44 Caliber Killer, Mr. Monster",,1953-06-01,,,,"Second-Degree Murder, Attempted Second-Degree Murder",life imprisonment with the possibility of parole after 25 years,1977-08-10
Richard Chase,"The Dracula Killer, The Vampire of Sacramento The Vampire Killer",30.0,1950-05-23,,1980-12-26,S,First Degree Murder With Special Circumstances,death,1978-01-27
Michael Terry,Michael James Potts,,,,,,Murder,life imprisonment x6,1986-11-28
Lázaro Barbosa De Sousa,,32.0,1988-08-27,"Barra do Mendes, Bahia, Brazil",2021-06-28,"guas Lindas de Gois, Gois, Brazil",,,
Alfredo Galán,"The Playing Card Killer, The Deck of Cards Killer, The Tokarev Killer",,1978-04-05,"La Mancha, Spain",,,Murder,142 years and 3 months imprisonment,2003-07-03
Friedrich Schumann,Terror of Falkenhagen Lake,28.0,1893-02-01,"Spandau, German Empire",1921-08-27,"Pltzensee Prison, Berlin, Weimar Republic","Murder Rape, Burglary",death,1920-08-20
Eugen Weidmann,,31.0,1908-02-05,"Frankfurt, German Empire",1939-06-17,"Versailles, France",Murder,death,1937-12-08
Rhonda Belle Martin,,,,United States,1957-10-11,,First Degree Murder,death,
Leslie Irvin,"The Mad Dog Killer, Joe Goebbels",,1924-04-02,,,,First Degree Murder,"death, commuted to life imprisonment",1955-04-08
Lemuel Smith,,,1941-07-23,,,,,"death, commuted to Life",1977-08-19
Freeway Phantom,,,,,,,,,
David Mason,,36.0,1956-12-02,,1993-08-24,,"First Degree Murder With Special Circumstances Assault With A Deadly Weapon, Robbery","death(January 27, 1984)",1981-02-04
Dayton Leroy Rogers,The Molalla Forest Killer,,1953-09-30,,,,First Degree Murder,"death, commuted to life imprisonment",1987-01-01
Norbert Poehlke,The Hammer-Killer,34.0,1951-09-15,"Stuttgart, West Germany",1985-10-22,"Torre Canne, Brindisi, Italy",Committed Suicide Before Apprehension,Committed suicide before apprehension,
Wolfgang Schmidt,"Pink Giant, The Beast of Beelitz, Beelitz-Murderer",,1966-10-05,"Lehnin, Bezirk Potsdam, East Germany",,,Murder,15 years in prison and detention in a psychiatric hospital,1991-08-01
Cleophus Prince Jr.,The Clairemont Killer,,1967-07-24,,,,"July,",,1991-03-03
Nathaniel White,,,1960-07-28,,,,Murder,150 years to life imprisonment,1992-08-02
Samuel Bongani Mfeka,,,,South Africa,,,Murder,life imprisonment,
Gary Ray Bowles,,57.0,1962-01-25,,2019-08-22,,"First Degree Murder , Seual Battery, Aggravated Battery, Armed Robbery, Robbery, Burglary, Grand Theft Auto, Grand Theft",Two death sentences (August 1997 & 1999),1994-11-22
Rory Enrique Conde,The Tamiami Trail Strangler,,1965-06-14,"Barranquilla, Colombia",,,Murder,death,1995-06-19
Nicholas Lungisa Ncama,,,,"Port Elizabeth, South Africa",,,,"Life sentence, effectively 42 years",1997-11-01
Aleksandr Rubel,,,1980-12-25,"Ukrainian SSR, Soviet Union",,,,8 years imprisonment,
Celine Lesage,,,,France,,,Murder,15 years in prison,2007-10-01
Filiberto Hernández Martínez,"The Tamuin Monster, the Beast Tamuin, or , the Tamuin Strangler",,,"Ebano, San Luis Potosi, Mexico",,,,life imprisonment,2014-07-05
Zodiac Killer,,,,,,,,,
