Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Francisco Das Chagas Rodrigues De Brito,,,,"Caxias, state of Maranho, Brazil",,,"Doubly Qualified Homicide, Abuse Against Dead Bodies, Concealment Of Corpses",580 years imprisonment,2003-12-01
Monster Of The Mangones,",The Cali Vampire,",,,,,,,,
Milton Sipalo,The Lusaka Strangler,,,,,"Lusaka Central Police Station, Lusaka, Zambia",,,1980-09-16
Luis Gregorio Ramírez Maestre,The Monster of Tenerife,,1980-09-30,"Valledupar, Colombia",,,Murder,34 years in jail,2012-01-01
David Thabo Simelane,David Albert Mhlanga,,,,,,Murder,death,
Zhang Jun,,34.0,1966-08-05,"Hualin Village, Hunan, China",2001-05-20,"Chongqing, China",Murder,death,2000-09-19
Mariam Soulakiotis,,,," Keratea, Greece",,,,14 years in prison (died with pending criminal cases),1950-12-05
Cedric Maake,The Wemmer Pan Killer,,,Maoupa Cedric MaakeSouth Africa,,,,1 340 years imprisonment,1997-12-01
Robert Pickton,,74.0,1949-10-24,"Port Coquitlam, British Columbia, Canada",2024-05-31,"Quebec City, Quebec, Canada",Second-Degree Murder ×,life imprisonment with no possibility of parole for 25 years,2002-02-22
Bruce George Peter Lee,,,1960-07-31,"Manchester, England",,,"Manslaughter, Arson",Indefinite hospital detention,1979-12-04
The Stoneman,,,,,,,,,
Juan Corona,Corona,85.0,1934-02-07,"San Antonio de los Moran, Ayutla, Jalisco, Mexico",2019-03-04,,First-Degree Murder,life imprisonment,1971-05-26
Fritz Haarmann,"The Butcher of Hanover, The Wolf Man, The Vampire of Hanover",,,"Hanover, German Empire",1925-04-15,"Hanover Prison, Hanover, Weimar Republic",Murder,death,1924-06-22
Béla Kiss,"Bela Kish, Monster of Cinkota",,,Hungary,,,Never Convicted,,
Majid Salek Mohammadi,,,,"Tabriz, Iran",,"Qasr Prison, Iran",Murder,,
Yvan Keller,The Pillow Killer,45.0,1960-12-13,"Rhin, France",2006-09-22,"Mulhouse, France",,,2006-09-01
Ronald Dominique,The Bayou Strangler,,1964-01-09,,,,,Eight consecutive life sentence(s) without the possibility of parole,2006-12-01
Juan Fernando Hermosa,Niño del Terror-Child of Terror,20.0,1976-02-28,"Clemente Baquerizo, Los Ros Province, Ecuador",1996-02-28,"Nueva Loja, Sucumbos Province, Ecuador",Murder,4 years imprisonment,1992-01-09
Gerald Stano,,46.0,1951-09-12,,1998-03-23,,First Degree Murder,deathplus 8 life sentence(s),1980-04-01
Earle Nelson,"The Dark Strangler, The Gorilla Man, Charles Harrison, Adrian Harris, Virgil Wilson",,,,,"Vaughan Street Jail, Winnipeg, Manitoba, Canada","Murder, Attempted Molestation, Breaking And Entering",death,1927-06-16
Mikhail Novosyolov,The Necrophile Rebel,,,"Mikhail NovosyolovSarapul, Udmurt ASSR, RSFSR",,,Murder,Civil commitment,1995-01-01
Manuel Octavio Bermúdez,The Monster of the Cane Fields,63.0,1961-10-15,"Trujillo, Valle del Cauca, Colombia",2024-10-17,"Cauca Department, Colombia","Murder, Rape",25 years in prison,2003-07-18
Patrick Kearney,"The Trash Bag Killer, The Freeway Killer",,1939-09-24,,,,First Degree Murder Necrophilia,life imprisonment,1977-07-01
William Bonin,"The Freeway Killer, The Freeway Strangler",49.0,1947-01-08,,1996-02-23,,First Degree Murder With Special Circumstances Robbery Sodomy,"Los Angeles County, death(March 12, 1982)Orange County, death(August 26, 1983)",1980-06-11
Vasile Tcaciuc,The Butcher of Iași,,,"Bessarabia Governorate, Russian Empire",1935-10-17,"Iai, Kingdom of Romania",,,
Yoo Young-Chul,Raincoat Killer (레인 코트 킬러),,1970-04-18,"Gochang County, South Korea",,,,,2004-07-15
Francisco Guerrero Pérez,"El Chalequero, The Mexican Bluebeard, The Consulado River Strangler, The Consulado River Ripper, The Mexican Ripper",,,"The Bajo, Mexico",,"Palacio de Lecumberri, Mexico City, Mexico",,deathpenalty,1908-01-01
Ted Bundy,"Chris Hagen, Kenneth Misner, Officer Rosel, Richard Burton, Rolf Miller",42.0,1946-11-24,,1989-01-24,,"First-Degree Murder ×, Attempted First-Degree Murder ×, Aggravated Kidnapping, Burglary","Three death sentences (two in 1979, one in 1980) 1 to 15 years in prison (1976)",1975-08-16
Abdullah Shah,"Zardad,s dog",,,,2004-04-20,"Kabul, Afghanistan",Murder,death,
Mohan Kumar,"Cyanide Mohan, Ana, Bhaskara, Bhaskar",,,"Karnataka, India",,,,deathpenalty (commuted to life imprisonment),2009-10-21
Bulelani Mabhayi,The Monster of Tholeni,,,South Africa,,,Murder,25 years to life imprisonment,
Larry Eyler,"The Highway Killer, The Interstate Killer",41.0,1952-12-21,,1994-03-06,,"Illinois, Murder, Aggravated Kidnapping, Concealment Of A Homicidal Death, Indiana, Murder","Illinois, death(October 3, 1986)Indiana, 60 years imprisonment (December 28, 1990)",1984-08-21
Cape Town Prostitute Killer,The Cape Town Strangler,,,,,,,,
El Psicópata,"The Psychopath, The Psycho",,,,,,,,
Sergei Ryakhovsky,The Balashikha Ripper  The Hippopotamus,44.0,1962-12-29,"Balashikha, Moscow Oblast, Soviet Union",2007-11-12,"Mordovian Zone, Sosnovka, Mordovia, Russia",Murder,death(commuted to life imprisonment),1993-04-13
Yevgeny Chuplinsky,"See aliases, The Maniac of Novosibirsk, The Novosibirsk Maniac, The Novosibirsk Ripper, The Policeman Maniac, The Policeman Ripper, The Satanist Maniac, The Occult Maniac, The Siberian Monster, The Siberian Ripper, The Siberian Chikatilo, Chupa-Chups",,1965-03-14,"Novosibirsk, Novosibirsk Oblast, RSFSR",,,Murder ×,life imprisonment,2016-04-23
