Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Crimes in the Sphere of Economic Activity,Bryansk Oblast,2010,2881,223.9
Crimes in the Sphere of Economic Activity,Vladimir Oblast,2010,3117,215.0
Crimes in the Sphere of Economic Activity,Voronezh Oblast,2010,3543,151.7
Crimes in the Sphere of Economic Activity,Ivanovo Oblast,2010,2591,242.7
Crimes in the Sphere of Economic Activity,Kaluga Oblast,2010,2815,277.3
Crimes in the Sphere of Economic Activity,Kostroma Oblast,2010,1612,239.5
Crimes in the Sphere of Economic Activity,Kursk Oblast,2010,2170,191.2
Crimes in the Sphere of Economic Activity,Lipetsk Oblast,2010,2073,176.1
Crimes in the Sphere of Economic Activity,Moscow Oblast,2010,16314,232.3
Crimes in the Sphere of Economic Activity,Oryol Oblast,2010,2229,281.0
Crimes in the Sphere of Economic Activity,Ryazan Oblast,2010,2026,174.4
Crimes in the Sphere of Economic Activity,Smolensk Oblast,2010,3493,351.8
Crimes in the Sphere of Economic Activity,Tambov Oblast,2010,1854,168.6
Crimes in the Sphere of Economic Activity,Tver Oblast,2010,2743,200.9
Crimes in the Sphere of Economic Activity,Tula Oblast,2010,2642,168.9
Crimes in the Sphere of Economic Activity,Yaroslavl Oblast,2010,1692,132.2
Crimes in the Sphere of Economic Activity,Moscow,2010,14721,129.3
Crimes in the Sphere of Economic Activity,Republic of Karelia,2010,1696,261.4
Crimes in the Sphere of Economic Activity,Komi Republic,2010,1554,170.4
Crimes in the Sphere of Economic Activity,Arkhangelsk Oblast,2010,2009,168.1
Crimes in the Sphere of Economic Activity,Nenets Autonomous Okrug,2010,76,180.5
Crimes in the Sphere of Economic Activity,Vologda Oblast,2010,2114,174.9
Crimes in the Sphere of Economic Activity,Kaliningrad Oblast,2010,2306,245.7
Crimes in the Sphere of Economic Activity,Leningrad Oblast,2010,3350,196.5
Crimes in the Sphere of Economic Activity,Murmansk Oblast,2010,1186,148.3
Crimes in the Sphere of Economic Activity,Novgorod Oblast,2010,1526,238.6
Crimes in the Sphere of Economic Activity,Pskov Oblast,2010,1117,163.8
Crimes in the Sphere of Economic Activity,Saint Petersburg,2010,7034,145.5
Crimes in the Sphere of Economic Activity,Republic of Dagestan,2010,2315,80.7
Crimes in the Sphere of Economic Activity,Republic of Ingushetia,2010,226,54.9
Crimes in the Sphere of Economic Activity,Kabardino-Balkar Republic,2010,1385,161.1
Crimes in the Sphere of Economic Activity,Karachay-Cherkess Republic,2010,840,177.3
Crimes in the Sphere of Economic Activity,Republic of North Ossetia-Alania,2010,1322,185.7
Crimes in the Sphere of Economic Activity,Chechen Republic,2010,685,54.8
Crimes in the Sphere of Economic Activity,Stavropol Krai,2010,5054,181.9
Crimes in the Sphere of Economic Activity,Republic of Adygea,2010,603,137.1
Crimes in the Sphere of Economic Activity,Republic of Kalmykia,2010,833,287.6
Crimes in the Sphere of Economic Activity,Republic of Crimea,2010,NaN,NaN
Crimes in the Sphere of Economic Activity,Krasnodar Krai,2010,6104,117.1
Crimes in the Sphere of Economic Activity,Astrakhan Oblast,2010,6693,661.9
Crimes in the Sphere of Economic Activity,Volgograd Oblast,2010,6927,265.0
Crimes in the Sphere of Economic Activity,Rostov Oblast,2010,6746,157.4
Crimes in the Sphere of Economic Activity,Sevastopol,2010,NaN,NaN
Crimes in the Sphere of Economic Activity,Republic of Bashkortostan,2010,7499,184.3
Crimes in the Sphere of Economic Activity,Mari El Republic,2010,1056,151.0
Crimes in the Sphere of Economic Activity,Republic of Mordovia,2010,2308,275.0
Crimes in the Sphere of Economic Activity,Republic of Tatarstan,2010,4820,127.4
Crimes in the Sphere of Economic Activity,Udmurt Republic,2010,2827,185.4
Crimes in the Sphere of Economic Activity,Chuvash Republic,2010,2800,223.0
Crimes in the Sphere of Economic Activity,Perm Krai,2010,3511,132.6
Crimes in the Sphere of Economic Activity,Kirov Oblast,2010,1782,131.7
Crimes in the Sphere of Economic Activity,Nizhny Novgorod Oblast,2010,9797,294.5
Crimes in the Sphere of Economic Activity,Orenburg Oblast,2010,2594,127.0
Crimes in the Sphere of Economic Activity,Penza Oblast,2010,2102,151.0
Crimes in the Sphere of Economic Activity,Samara Oblast,2010,4455,138.3
Crimes in the Sphere of Economic Activity,Saratov Oblast,2010,3424,135.0
Crimes in the Sphere of Economic Activity,Ulyanovsk Oblast,2010,1775,136.4
Crimes in the Sphere of Economic Activity,Kurgan Oblast,2010,1627,177.1
Crimes in the Sphere of Economic Activity,Sverdlovsk Oblast,2010,7609,176.6
Crimes in the Sphere of Economic Activity,Tyumen Oblast,2010,3631,272.3
Crimes in the Sphere of Economic Activity,Khanty–Mansi Autonomous Okrug – Yugra,2010,3369,221.5
Crimes in the Sphere of Economic Activity,Yamalo-Nenets Autonomous Okrug,2010,1318,251.5
Crimes in the Sphere of Economic Activity,Chelyabinsk Oblast,2010,8825,253.5
Crimes in the Sphere of Economic Activity,Altai Republic,2010,340,165.5
Crimes in the Sphere of Economic Activity,Republic of Buryatia,2010,1197,123.4
Crimes in the Sphere of Economic Activity,Tuva Republic,2010,386,125.6
Crimes in the Sphere of Economic Activity,Republic of Khakassia,2010,563,105.7
Crimes in the Sphere of Economic Activity,Altai Krai,2010,2849,117.2
Crimes in the Sphere of Economic Activity,Zabaykalsky Krai,2010,1533,138.2
Crimes in the Sphere of Economic Activity,Krasnoyarsk Krai,2010,3903,137.8
Crimes in the Sphere of Economic Activity,Irkutsk Oblast,2010,3206,131.4
Crimes in the Sphere of Economic Activity,Kemerovo Oblast,2010,3075,110.9
Crimes in the Sphere of Economic Activity,Novosibirsk Oblast,2010,9319,350.1
Crimes in the Sphere of Economic Activity,Omsk Oblast,2010,4477,225.7
Crimes in the Sphere of Economic Activity,Tomsk Oblast,2010,1413,135.8
Crimes in the Sphere of Economic Activity,Sakha (Yakutia) Republic,2010,2266,236.5
Crimes in the Sphere of Economic Activity,Kamchatka Krai,2010,905,280.0
Crimes in the Sphere of Economic Activity,Primorsky Krai,2010,2852,145.1
Crimes in the Sphere of Economic Activity,Khabarovsk Krai,2010,1815,134.5
Crimes in the Sphere of Economic Activity,Amur Oblast,2010,577,69.1
Crimes in the Sphere of Economic Activity,Magadan Oblast,2010,475,298.7
Crimes in the Sphere of Economic Activity,Sakhalin Oblast,2010,1524,304.0
Crimes in the Sphere of Economic Activity,Jewish Autonomous Oblast,2010,192,108.2
Crimes in the Sphere of Economic Activity,Chukotka Autonomous Okrug,2010,119,232.5
Murder,Russian Federation,2011,14091,9.9
Murder,Belgorod Oblast,2011,83,5.4
Murder,Bryansk Oblast,2011,108,8.5
Murder,Vladimir Oblast,2011,138,9.6
Murder,Voronezh Oblast,2011,136,5.8
Murder,Ivanovo Oblast,2011,73,6.9
Murder,Kaluga Oblast,2011,98,9.7
Murder,Kostroma Oblast,2011,53,8.0
Murder,Kursk Oblast,2011,74,6.6
Murder,Lipetsk Oblast,2011,114,9.7
Murder,Moscow Oblast,2011,680,9.9
Murder,Oryol Oblast,2011,72,9.2
Murder,Ryazan Oblast,2011,77,6.7
Murder,Smolensk Oblast,2011,78,7.9
Murder,Tambov Oblast,2011,77,7.1
Murder,Tver Oblast,2011,154,11.4
Murder,Tula Oblast,2011,113,7.3
Murder,Yaroslavl Oblast,2011,88,6.9
Murder,Moscow,2011,487,4.1
Murder,Republic of Karelia,2011,84,13.1
Murder,Komi Republic,2011,122,13.6
Murder,Arkhangelsk Oblast,2011,142,12.0
Murder,Nenets Autonomous Okrug,2011,6,14.3
Murder,Vologda Oblast,2011,125,10.4
Murder,Kaliningrad Oblast,2011,66,7.0
Murder,Leningrad Oblast,2011,228,13.3
Murder,Murmansk Oblast,2011,50,6.3
Murder,Novgorod Oblast,2011,80,12.6
Murder,Pskov Oblast,2011,64,9.5
Murder,Saint Petersburg,2011,310,6.3
Murder,Republic of Dagestan,2011,305,10.5
Murder,Republic of Ingushetia,2011,49,11.8
Murder,Kabardino-Balkar Republic,2011,110,12.8
Murder,Karachay-Cherkess Republic,2011,59,12.4
Murder,Republic of North Ossetia-Alania,2011,48,6.7
Murder,Chechen Republic,2011,90,7.1
Murder,Stavropol Krai,2011,152,5.5
Murder,Republic of Adygea,2011,23,5.2
Murder,Republic of Kalmykia,2011,37,12.8
Murder,Republic of Crimea,2011,NaN,NaN
Murder,Krasnodar Krai,2011,327,6.3
Murder,Astrakhan Oblast,2011,106,10.5
Murder,Volgograd Oblast,2011,240,9.2
Murder,Rostov Oblast,2011,280,6.5
Murder,Sevastopol,2011,NaN,NaN
Murder,Republic of Bashkortostan,2011,375,9.2
Murder,Mari El Republic,2011,87,12.5
Murder,Republic of Mordovia,2011,60,7.2
Murder,Republic of Tatarstan,2011,277,7.3
Murder,Udmurt Republic,2011,144,9.5
Murder,Chuvash Republic,2011,97,7.8
Murder,Perm Krai,2011,388,14.7
Murder,Kirov Oblast,2011,93,6.9
Murder,Nizhny Novgorod Oblast,2011,261,7.9
Murder,Orenburg Oblast,2011,239,11.8
Murder,Penza Oblast,2011,62,4.5
Murder,Samara Oblast,2011,264,8.2
Murder,Saratov Oblast,2011,166,6.6
Murder,Ulyanovsk Oblast,2011,117,9.1
Murder,Kurgan Oblast,2011,147,16.2
Murder,Sverdlovsk Oblast,2011,498,11.6
Murder,Tyumen Oblast,2011,160,11.9
Murder,Khanty–Mansi Autonomous Okrug – Yugra,2011,139,9.0
Murder,Yamalo-Nenets Autonomous Okrug,2011,73,13.9
Murder,Chelyabinsk Oblast,2011,432,12.4
Murder,Altai Republic,2011,30,14.5
Murder,Republic of Buryatia,2011,208,21.4
Murder,Tuva Republic,2011,137,44.5
Murder,Republic of Khakassia,2011,102,19.2
Murder,Altai Krai,2011,284,11.7
Murder,Zabaykalsky Krai,2011,323,29.2
Murder,Krasnoyarsk Krai,2011,365,12.9
Murder,Irkutsk Oblast,2011,549,22.6
Murder,Kemerovo Oblast,2011,494,17.9
Murder,Novosibirsk Oblast,2011,293,11.0
Murder,Omsk Oblast,2011,167,8.4
Murder,Tomsk Oblast,2011,80,7.6
Murder,Sakha (Yakutia) Republic,2011,166,17.3
Murder,Kamchatka Krai,2011,34,10.6
Murder,Primorsky Krai,2011,309,15.8
Murder,Khabarovsk Krai,2011,209,15.6
Murder,Amur Oblast,2011,190,22.9
Murder,Magadan Oblast,2011,30,19.2
Murder,Sakhalin Oblast,2011,76,15.3
Murder,Jewish Autonomous Oblast,2011,38,21.6
Murder,Chukotka Autonomous Okrug,2011,13,25.8
Intentional Bodily Harm,Russian Federation,2011,38512,27.0
Intentional Bodily Harm,Belgorod Oblast,2011,192,12.5
Intentional Bodily Harm,Bryansk Oblast,2011,297,23.3
Intentional Bodily Harm,Vladimir Oblast,2011,355,24.6
Intentional Bodily Harm,Voronezh Oblast,2011,373,16.0
Intentional Bodily Harm,Ivanovo Oblast,2011,260,24.5
Intentional Bodily Harm,Kaluga Oblast,2011,272,27.0
Intentional Bodily Harm,Kostroma Oblast,2011,131,19.7
Intentional Bodily Harm,Kursk Oblast,2011,214,19.0
Intentional Bodily Harm,Lipetsk Oblast,2011,245,20.9
Intentional Bodily Harm,Moscow Oblast,2011,1714,24.9
Intentional Bodily Harm,Oryol Oblast,2011,131,16.7
Intentional Bodily Harm,Ryazan Oblast,2011,206,17.9
Intentional Bodily Harm,Smolensk Oblast,2011,240,24.4
Intentional Bodily Harm,Tambov Oblast,2011,164,15.1
Intentional Bodily Harm,Tver Oblast,2011,406,30.1
Intentional Bodily Harm,Tula Oblast,2011,346,22.3
Intentional Bodily Harm,Yaroslavl Oblast,2011,291,22.9
Intentional Bodily Harm,Moscow,2011,1362,11.6
Intentional Bodily Harm,Republic of Karelia,2011,193,30.0
Intentional Bodily Harm,Komi Republic,2011,361,40.1
Intentional Bodily Harm,Arkhangelsk Oblast,2011,377,31.9
Intentional Bodily Harm,Nenets Autonomous Okrug,2011,17,40.4
Intentional Bodily Harm,Vologda Oblast,2011,411,34.2
Intentional Bodily Harm,Kaliningrad Oblast,2011,199,21.1
Intentional Bodily Harm,Leningrad Oblast,2011,435,25.3
Intentional Bodily Harm,Murmansk Oblast,2011,249,31.4
Intentional Bodily Harm,Novgorod Oblast,2011,198,31.3
Intentional Bodily Harm,Pskov Oblast,2011,191,28.5
Intentional Bodily Harm,Saint Petersburg,2011,601,12.3
Intentional Bodily Harm,Republic of Dagestan,2011,137,4.7
Intentional Bodily Harm,Republic of Ingushetia,2011,15,3.6
Intentional Bodily Harm,Kabardino-Balkar Republic,2011,81,9.4
Intentional Bodily Harm,Karachay-Cherkess Republic,2011,79,16.5
Intentional Bodily Harm,Republic of North Ossetia-Alania,2011,68,9.5
Intentional Bodily Harm,Chechen Republic,2011,9,0.7
Intentional Bodily Harm,Stavropol Krai,2011,463,16.6
Intentional Bodily Harm,Republic of Adygea,2011,69,15.7
Intentional Bodily Harm,Republic of Kalmykia,2011,72,24.9
Intentional Bodily Harm,Republic of Crimea,2011,NaN,NaN
Intentional Bodily Harm,Krasnodar Krai,2011,957,18.3
Intentional Bodily Harm,Astrakhan Oblast,2011,199,19.7
Intentional Bodily Harm,Volgograd Oblast,2011,581,22.3
Intentional Bodily Harm,Rostov Oblast,2011,685,16.0
Intentional Bodily Harm,Sevastopol,2011,NaN,NaN
Intentional Bodily Harm,Republic of Bashkortostan,2011,1108,27.2
Intentional Bodily Harm,Mari El Republic,2011,187,26.9
Intentional Bodily Harm,Republic of Mordovia,2011,174,20.9
Intentional Bodily Harm,Republic of Tatarstan,2011,722,19.1
Intentional Bodily Harm,Udmurt Republic,2011,473,31.1
Intentional Bodily Harm,Chuvash Republic,2011,245,19.6
Intentional Bodily Harm,Perm Krai,2011,1346,51.1
Intentional Bodily Harm,Kirov Oblast,2011,300,22.4
Intentional Bodily Harm,Nizhny Novgorod Oblast,2011,710,21.5
Intentional Bodily Harm,Orenburg Oblast,2011,650,32.0
Intentional Bodily Harm,Penza Oblast,2011,259,18.7
Intentional Bodily Harm,Samara Oblast,2011,704,21.9
Intentional Bodily Harm,Saratov Oblast,2011,420,16.7
Intentional Bodily Harm,Ulyanovsk Oblast,2011,371,28.7
Intentional Bodily Harm,Kurgan Oblast,2011,289,31.8
Intentional Bodily Harm,Sverdlovsk Oblast,2011,1483,34.5
Intentional Bodily Harm,Tyumen Oblast,2011,618,46.0
Intentional Bodily Harm,Khanty–Mansi Autonomous Okrug – Yugra,2011,526,34.2
Intentional Bodily Harm,Yamalo-Nenets Autonomous Okrug,2011,200,38.1
Intentional Bodily Harm,Chelyabinsk Oblast,2011,1279,36.8
Intentional Bodily Harm,Altai Republic,2011,110,53.3
Intentional Bodily Harm,Republic of Buryatia,2011,527,54.2
Intentional Bodily Harm,Tuva Republic,2011,568,184.3
Intentional Bodily Harm,Republic of Khakassia,2011,214,40.2
Intentional Bodily Harm,Altai Krai,2011,801,33.1
Intentional Bodily Harm,Zabaykalsky Krai,2011,785,71.0
Intentional Bodily Harm,Krasnoyarsk Krai,2011,1238,43.8
Intentional Bodily Harm,Irkutsk Oblast,2011,1533,63.1
Intentional Bodily Harm,Kemerovo Oblast,2011,1685,61.0
Intentional Bodily Harm,Novosibirsk Oblast,2011,794,29.8
Intentional Bodily Harm,Omsk Oblast,2011,648,32.8
Intentional Bodily Harm,Tomsk Oblast,2011,418,39.9
Intentional Bodily Harm,Sakha (Yakutia) Republic,2011,632,66.0
Intentional Bodily Harm,Kamchatka Krai,2011,107,33.3
Intentional Bodily Harm,Primorsky Krai,2011,816,41.8
Intentional Bodily Harm,Khabarovsk Krai,2011,655,48.8
Intentional Bodily Harm,Amur Oblast,2011,451,54.4
Intentional Bodily Harm,Magadan Oblast,2011,83,53.0
Intentional Bodily Harm,Sakhalin Oblast,2011,208,41.9
Intentional Bodily Harm,Jewish Autonomous Oblast,2011,129,73.2
Intentional Bodily Harm,Chukotka Autonomous Okrug,2011,44,87.4
Rape,Russian Federation,2011,4801,3.4
Rape,Belgorod Oblast,2011,16,1.0
Rape,Bryansk Oblast,2011,24,1.9
Rape,Vladimir Oblast,2011,51,3.5
Rape,Voronezh Oblast,2011,44,1.9
Rape,Ivanovo Oblast,2011,48,4.5
Rape,Kaluga Oblast,2011,56,5.5
Rape,Kostroma Oblast,2011,23,3.5
Rape,Kursk Oblast,2011,42,3.7
Rape,Lipetsk Oblast,2011,15,1.3
Rape,Moscow Oblast,2011,207,3.0
Rape,Oryol Oblast,2011,9,1.1
Rape,Ryazan Oblast,2011,19,1.6
Rape,Smolensk Oblast,2011,23,2.3
Rape,Tambov Oblast,2011,22,2.0
Rape,Tver Oblast,2011,40,3.0
Rape,Tula Oblast,2011,31,2.0
Rape,Yaroslavl Oblast,2011,36,2.8
Rape,Moscow,2011,321,2.7
Rape,Republic of Karelia,2011,17,2.6
Rape,Komi Republic,2011,44,4.9
Rape,Arkhangelsk Oblast,2011,139,11.8
Rape,Nenets Autonomous Okrug,2011,2,4.8
Rape,Vologda Oblast,2011,41,3.4
Rape,Kaliningrad Oblast,2011,15,1.6
Rape,Leningrad Oblast,2011,60,3.5
Rape,Murmansk Oblast,2011,6,0.8
Rape,Novgorod Oblast,2011,17,2.7
Rape,Pskov Oblast,2011,11,1.6
Rape,Saint Petersburg,2011,110,2.2
Rape,Republic of Dagestan,2011,47,1.6
Rape,Republic of Ingushetia,2011,1,0.2
Rape,Kabardino-Balkar Republic,2011,30,3.5
Rape,Karachay-Cherkess Republic,2011,17,3.6
Rape,Republic of North Ossetia-Alania,2011,13,1.8
Rape,Chechen Republic,2011,8,0.6
Rape,Stavropol Krai,2011,105,3.8
Rape,Republic of Adygea,2011,12,2.7
Rape,Republic of Kalmykia,2011,16,5.5
Rape,Republic of Crimea,2011,NaN,NaN
Rape,Krasnodar Krai,2011,134,2.6
Rape,Astrakhan Oblast,2011,45,4.5
Rape,Volgograd Oblast,2011,87,3.3
Rape,Rostov Oblast,2011,110,2.6
Rape,Sevastopol,2011,NaN,NaN
Rape,Republic of Bashkortostan,2011,122,3.0
Rape,Mari El Republic,2011,43,6.2
Rape,Republic of Mordovia,2011,15,1.8
Rape,Republic of Tatarstan,2011,223,5.9
Rape,Udmurt Republic,2011,86,5.7
Rape,Chuvash Republic,2011,78,6.2
Rape,Perm Krai,2011,159,6.0
Rape,Kirov Oblast,2011,37,2.8
Rape,Nizhny Novgorod Oblast,2011,61,1.8
Rape,Orenburg Oblast,2011,50,2.5
Rape,Penza Oblast,2011,40,2.9
Rape,Samara Oblast,2011,60,1.9
Rape,Saratov Oblast,2011,53,2.1
Rape,Ulyanovsk Oblast,2011,55,4.3
Rape,Kurgan Oblast,2011,31,3.4
Rape,Sverdlovsk Oblast,2011,201,4.7
Rape,Tyumen Oblast,2011,73,5.4
Rape,Khanty–Mansi Autonomous Okrug – Yugra,2011,46,3.0
Rape,Yamalo-Nenets Autonomous Okrug,2011,33,6.3
Rape,Chelyabinsk Oblast,2011,80,2.3
Rape,Altai Republic,2011,22,10.7
Rape,Republic of Buryatia,2011,46,4.7
Rape,Tuva Republic,2011,93,30.2
Rape,Republic of Khakassia,2011,44,8.3
Rape,Altai Krai,2011,75,3.1
Rape,Zabaykalsky Krai,2011,80,7.2
Rape,Krasnoyarsk Krai,2011,121,4.3
Rape,Irkutsk Oblast,2011,78,3.2
Rape,Kemerovo Oblast,2011,99,3.6
Rape,Novosibirsk Oblast,2011,97,3.6
Rape,Omsk Oblast,2011,56,2.8
Rape,Tomsk Oblast,2011,29,2.8
Rape,Sakha (Yakutia) Republic,2011,63,6.6
Rape,Kamchatka Krai,2011,17,5.3
Rape,Primorsky Krai,2011,88,4.5
Rape,Khabarovsk Krai,2011,37,2.8
Rape,Amur Oblast,2011,42,5.1
Rape,Magadan Oblast,2011,3,1.9
Rape,Sakhalin Oblast,2011,10,2.0
Rape,Jewish Autonomous Oblast,2011,9,5.1
Rape,Chukotka Autonomous Okrug,2011,2,4.0
Theft,Russian Federation,2011,1038566,727.0
Theft,Belgorod Oblast,2011,6730,439.2
Theft,Bryansk Oblast,2011,7639,599.0
Theft,Vladimir Oblast,2011,11280,782.7
Theft,Voronezh Oblast,2011,13147,563.1
Theft,Ivanovo Oblast,2011,7454,703.1
Theft,Kaluga Oblast,2011,6444,638.5
Theft,Kostroma Oblast,2011,3141,471.3
Theft,Kursk Oblast,2011,8312,738.4
Theft,Lipetsk Oblast,2011,7159,610.8
Theft,Moscow Oblast,2011,48623,707.7
Theft,Oryol Oblast,2011,4770,607.2
Theft,Ryazan Oblast,2011,3874,336.3
Theft,Smolensk Oblast,2011,7233,735.9
Theft,Tambov Oblast,2011,5030,461.6
Theft,Tver Oblast,2011,14318,1060.5
Theft,Tula Oblast,2011,5367,346.2
Theft,Yaroslavl Oblast,2011,9301,731.8
Theft,Moscow,2011,95332,809.5
Theft,Republic of Karelia,2011,5729,891.6
Theft,Komi Republic,2011,5923,658.7
Theft,Arkhangelsk Oblast,2011,11391,963.1
Theft,Nenets Autonomous Okrug,2011,329,781.4
Theft,Vologda Oblast,2011,11812,983.4
Theft,Kaliningrad Oblast,2011,7670,814.4
Theft,Leningrad Oblast,2011,10918,635.3
Theft,Murmansk Oblast,2011,6958,876.2
Theft,Novgorod Oblast,2011,4668,737.7
Theft,Pskov Oblast,2011,5935,884.1
Theft,Saint Petersburg,2011,22463,458.5
Theft,Republic of Dagestan,2011,2219,76.1
Theft,Republic of Ingushetia,2011,216,52.1
Theft,Kabardino-Balkar Republic,2011,2957,343.9
Theft,Karachay-Cherkess Republic,2011,1096,229.6
Theft,Republic of North Ossetia-Alania,2011,1321,185.4
Theft,Chechen Republic,2011,552,43.3
Theft,Stavropol Krai,2011,12938,464.5
Theft,Republic of Adygea,2011,1823,414.4
Theft,Republic of Kalmykia,2011,953,329.9
Theft,Republic of Crimea,2011,NaN,NaN
Theft,Krasnodar Krai,2011,27173,519.6
Theft,Astrakhan Oblast,2011,7213,714.3
Theft,Volgograd Oblast,2011,16322,626.0
Theft,Rostov Oblast,2011,27041,632.5
Theft,Sevastopol,2011,NaN,NaN
Theft,Republic of Bashkortostan,2011,28141,691.1
Theft,Mari El Republic,2011,3473,499.4
Theft,Republic of Mordovia,2011,2169,260.3
Theft,Republic of Tatarstan,2011,24508,647.1
Theft,Udmurt Republic,2011,11174,734.9
Theft,Chuvash Republic,2011,6175,493.8
Theft,Perm Krai,2011,26160,993.3
Theft,Kirov Oblast,2011,8367,625.0
Theft,Nizhny Novgorod Oblast,2011,30345,917.4
Theft,Orenburg Oblast,2011,13689,673.8
Theft,Penza Oblast,2011,6012,434.4
Theft,Samara Oblast,2011,27191,845.7
Theft,Saratov Oblast,2011,14226,564.7
Theft,Ulyanovsk Oblast,2011,6202,480.6
Theft,Kurgan Oblast,2011,7465,821.4
Theft,Sverdlovsk Oblast,2011,30528,710.4
Theft,Tyumen Oblast,2011,15081,1122.8
Theft,Khanty–Mansi Autonomous Okrug – Yugra,2011,12620,821.0
Theft,Yamalo-Nenets Autonomous Okrug,2011,3219,613.2
Theft,Chelyabinsk Oblast,2011,35392,1018.3
Theft,Altai Republic,2011,1769,856.5
Theft,Republic of Buryatia,2011,10575,1088.5
Theft,Tuva Republic,2011,1636,530.9
Theft,Republic of Khakassia,2011,5355,1006.0
Theft,Altai Krai,2011,20104,831.7
Theft,Zabaykalsky Krai,2011,14259,1289.1
Theft,Krasnoyarsk Krai,2011,28928,1022.5
Theft,Irkutsk Oblast,2011,25956,1069.0
Theft,Kemerovo Oblast,2011,29985,1085.9
Theft,Novosibirsk Oblast,2011,25379,951.8
Theft,Omsk Oblast,2011,12916,653.5
Theft,Tomsk Oblast,2011,11073,1056.0
Theft,Sakha (Yakutia) Republic,2011,6716,700.9
Theft,Kamchatka Krai,2011,2167,673.7
Theft,Primorsky Krai,2011,21923,1122.2
Theft,Khabarovsk Krai,2011,13379,996.3
Theft,Amur Oblast,2011,8872,1070.6
Theft,Magadan Oblast,2011,1155,737.9
Theft,Sakhalin Oblast,2011,4047,814.7
Theft,Jewish Autonomous Oblast,2011,1724,977.9
Theft,Chukotka Autonomous Okrug,2011,280,556.2
Robbery without violence,Russian Federation,2011,127772,89.4
Robbery without violence,Belgorod Oblast,2011,581,37.9
Robbery without violence,Bryansk Oblast,2011,563,44.1
Robbery without violence,Vladimir Oblast,2011,1193,82.8
Robbery without violence,Voronezh Oblast,2011,1132,48.5
Robbery without violence,Ivanovo Oblast,2011,917,86.5
Robbery without violence,Kaluga Oblast,2011,534,52.9
Robbery without violence,Kostroma Oblast,2011,414,62.1
Robbery without violence,Kursk Oblast,2011,556,49.4
Robbery without violence,Lipetsk Oblast,2011,840,71.7
Robbery without violence,Moscow Oblast,2011,5564,81.0
Robbery without violence,Oryol Oblast,2011,316,40.2
Robbery without violence,Ryazan Oblast,2011,421,36.6
Robbery without violence,Smolensk Oblast,2011,839,85.4
Robbery without violence,Tambov Oblast,2011,380,34.9
Robbery without violence,Tver Oblast,2011,1237,91.6
Robbery without violence,Tula Oblast,2011,605,39.0
Robbery without violence,Yaroslavl Oblast,2011,1126,88.6
Robbery without violence,Moscow,2011,12704,107.9
Robbery without violence,Republic of Karelia,2011,629,97.9
Robbery without violence,Komi Republic,2011,749,83.3
Robbery without violence,Arkhangelsk Oblast,2011,1259,106.4
Robbery without violence,Nenets Autonomous Okrug,2011,16,38.0
Robbery without violence,Vologda Oblast,2011,1283,106.8
Robbery without violence,Kaliningrad Oblast,2011,881,93.5
Robbery without violence,Leningrad Oblast,2011,987,57.4
Robbery without violence,Murmansk Oblast,2011,773,97.3
Robbery without violence,Novgorod Oblast,2011,484,76.5
Robbery without violence,Pskov Oblast,2011,421,62.7
Robbery without violence,Saint Petersburg,2011,4013,81.9
Robbery without violence,Republic of Dagestan,2011,265,9.1
Robbery without violence,Republic of Ingushetia,2011,15,3.6
Robbery without violence,Kabardino-Balkar Republic,2011,332,38.6
Robbery without violence,Karachay-Cherkess Republic,2011,136,28.5
Robbery without violence,Republic of North Ossetia-Alania,2011,181,25.4
Robbery without violence,Chechen Republic,2011,15,1.2
Robbery without violence,Stavropol Krai,2011,1355,48.6
Robbery without violence,Republic of Adygea,2011,181,41.1
Robbery without violence,Republic of Kalmykia,2011,109,37.7
Robbery without violence,Republic of Crimea,2011,NaN,NaN
Robbery without violence,Krasnodar Krai,2011,2177,41.6
Robbery without violence,Astrakhan Oblast,2011,952,94.3
Robbery without violence,Volgograd Oblast,2011,2169,83.2
Robbery without violence,Rostov Oblast,2011,3050,71.3
Robbery without violence,Sevastopol,2011,NaN,NaN
Robbery without violence,Republic of Bashkortostan,2011,2862,70.3
Robbery without violence,Mari El Republic,2011,514,73.9
Robbery without violence,Republic of Mordovia,2011,201,24.1
Robbery without violence,Republic of Tatarstan,2011,2467,65.1
Robbery without violence,Udmurt Republic,2011,2084,137.1
Robbery without violence,Chuvash Republic,2011,865,69.2
Robbery without violence,Perm Krai,2011,4054,153.9
Robbery without violence,Kirov Oblast,2011,809,60.4
Robbery without violence,Nizhny Novgorod Oblast,2011,4924,148.9
Robbery without violence,Orenburg Oblast,2011,1556,76.6
Robbery without violence,Penza Oblast,2011,513,37.1
Robbery without violence,Samara Oblast,2011,4461,138.7
Robbery without violence,Saratov Oblast,2011,1721,68.3
Robbery without violence,Ulyanovsk Oblast,2011,922,71.4
Robbery without violence,Kurgan Oblast,2011,649,71.4
Robbery without violence,Sverdlovsk Oblast,2011,4028,93.7
Robbery without violence,Tyumen Oblast,2011,1859,138.4
Robbery without violence,Khanty–Mansi Autonomous Okrug – Yugra,2011,1166,75.9
Robbery without violence,Yamalo-Nenets Autonomous Okrug,2011,285,54.3
Robbery without violence,Chelyabinsk Oblast,2011,4636,133.4
Robbery without violence,Altai Republic,2011,111,53.7
Robbery without violence,Republic of Buryatia,2011,1131,116.4
