Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Intentional Bodily Harm,Kaliningrad Oblast,2008,256,27.4
Intentional Bodily Harm,Leningrad Oblast,2008,546,32.3
Intentional Bodily Harm,Murmansk Oblast,2008,280,34.3
Intentional Bodily Harm,Novgorod Oblast,2008,217,33.3
Intentional Bodily Harm,Pskov Oblast,2008,236,33.7
Intentional Bodily Harm,Saint Petersburg,2008,690,14.5
Intentional Bodily Harm,Republic of Dagestan,2008,164,5.9
Intentional Bodily Harm,Republic of Ingushetia,2008,21,5.2
Intentional Bodily Harm,Kabardino-Balkar Republic,2008,92,10.7
Intentional Bodily Harm,Karachay-Cherkess Republic,2008,59,12.7
Intentional Bodily Harm,Republic of North Ossetia-Alania,2008,66,9.3
Intentional Bodily Harm,Chechen Republic,2008,28,2.3
Intentional Bodily Harm,Stavropol Krai,2008,555,20.1
Intentional Bodily Harm,Republic of Adygea,2008,72,16.4
Intentional Bodily Harm,Republic of Kalmykia,2008,62,21.3
Intentional Bodily Harm,Republic of Crimea,2008,NaN,NaN
Intentional Bodily Harm,Krasnodar Krai,2008,1032,20.0
Intentional Bodily Harm,Astrakhan Oblast,2008,254,25.3
Intentional Bodily Harm,Volgograd Oblast,2008,665,25.4
Intentional Bodily Harm,Rostov Oblast,2008,787,18.3
Intentional Bodily Harm,Sevastopol,2008,NaN,NaN
Intentional Bodily Harm,Republic of Bashkortostan,2008,1123,27.7
Intentional Bodily Harm,Mari El Republic,2008,237,33.6
Intentional Bodily Harm,Republic of Mordovia,2008,156,18.3
Intentional Bodily Harm,Republic of Tatarstan,2008,771,20.5
Intentional Bodily Harm,Udmurt Republic,2008,606,39.5
Intentional Bodily Harm,Chuvash Republic,2008,317,25.1
Intentional Bodily Harm,Perm Krai,2008,1619,60.5
Intentional Bodily Harm,Kirov Oblast,2008,335,24.3
Intentional Bodily Harm,Nizhny Novgorod Oblast,2008,801,23.8
Intentional Bodily Harm,Orenburg Oblast,2008,740,36.0
Intentional Bodily Harm,Penza Oblast,2008,273,19.4
