Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Azerbaijan,ECA,Europe and Central Asia,23,157,6,2.397118,30,128,7,5.524198,30,129,7,5.000017,30,126,7,7.161777,25,152,6,4.09,31,122,7,5.64,30,7,5.13,29,6,3.25,29,6,3.02,28,6,3.5,27,6,2.5
Honduras,AME,"North, Central, and South America",23,157,8,0.5017294,23,157,8,0.8461102,24,157,7,1.523377,26,146,7,3.254164,29,132,8,2.42,29,135,8,2.32,30,7,3.05,31,7,4.12,29,6,3.49,26,6,2.5,28,6,2.4
Myanmar,AP,Asia Pacific,23,157,7,1.897972,28,140,7,2.777369,28,137,7,2.650177,29,130,7,4.212792,29,132,7,3.94,30,130,7,3.91,28,8,3.69,22,7,2.82,21,7,2.87,21,6,3.9,15,4,3.7
Iraq,MENA,Middle East and North Africa,23,157,5,3.984978,23,157,5,4.018973,21,160,5,2.522758,20,162,5,2.980012,18,168,5,2.63,18,169,5,2.47,17,5,1.87,16,4,2.5,16,4,2.37,16,4,2.4,18,4,2.3
Zimbabwe,SSA,Sub Saharn Africa,23,157,8,1.53208,23,157,8,1.51809,24,157,9,1.352586,24,158,9,2.307745,22,160,9,2.29,22,157,9,2.22,22,9,2.59,21,8,4.54,21,8,4.18,21,8,4.3,20,8,4.3
Eritrea,SSA,Sub Saharn Africa,22,162,5,4.78386,22,161,5,4.991703,21,160,5,4.579689,23,160,5,6.657395,24,157,5,8.24,20,165,5,5.74,18,5,6.24,18,4,8.15,18,4,7.91,20,4,11,25,4,9.2
Sudan,SSA,Sub Saharn Africa,22,162,8,3.467837,20,164,8,2.428313,16,174,7,2.14281,16,173,7,2.743431,16,172,7,2.51,16,175,7,2.31,14,7,2.99,12,6,3.64,11,6,3.55,11,6,3.5,13,6,2.9
Congo,SSA,Sub Saharn Africa,21,164,7,1.262728,21,162,7,1.456811,19,165,6,0.8016022,19,165,6,1.031566,19,165,6,1.04,21,161,6,1.08,20,5,1.78,23,6,4.11,23,6,4.2,22,6,3.8,26,6,3.3
Guinea Bissau,SSA,Sub Saharn Africa,21,164,6,2.668904,21,162,6,2.692334,19,165,6,2.70877,18,168,6,2.909114,16,172,5,1.97,17,171,5,1.7,16,4,2.09,17,4,2.63,19,4,2.37,19,4,2.4,25,4,2.1
Democratic Republic of the Congo,SSA,Sub Saharn Africa,20,166,9,0.9935172,19,169,9,1.001406,18,170,9,0.7490472,18,168,9,1.426883,20,161,8,2.13,21,161,8,1.96,21,7,2.13,22,6,3.35,22,5,4.19,22,5,4.2,21,5,3.3
Chad,SSA,Sub Saharn Africa,19,167,6,1.513127,20,164,6,1.885957,21,160,6,1.710202,20,162,6,2.451336,19,165,6,2.94,20,165,6,2.73,20,5,2.67,22,5,2.35,22,5,2.95,19,5,3.8,19,5,2.5
Comoros,SSA,Sub Saharn Africa,19,167,4,5.478607,20,164,4,5.829758,21,160,4,5.749558,25,153,4,8.904729,27,144,4,9,27,148,4,8.87,24,3,12.81,26,3,8.76,26,3,8.75,28,3,7.5,28,3,7.5
Nicaragua,AME,"North, Central, and South America",19,167,8,1.040381,20,164,8,0.9706379,22,159,7,0.898374,22,161,7,1.162477,25,152,8,1.13,26,151,8,1.29,26,7,1.98,27,7,2.5,28,7,2.03,28,7,2.4,29,7,2.1
Turkmenistan,ECA,Europe and Central Asia,19,167,5,1.068664,19,169,5,1.068664,19,165,5,0.9122712,19,165,5,1.417115,20,161,5,1.22,19,167,5,1.78,22,4,1.32,18,4,2.38,17,3,2.85,17,3,2.9,17,3,2.9
Burundi,SSA,Sub Saharn Africa,17,171,5,2.325597,19,169,6,3.268247,19,165,6,3.737859,19,165,6,4.894006,17,170,5,2.65,22,157,6,3.29,20,6,1.53,21,5,2.94,20,5,3.65,21,5,2.6,19,5,2.8
Equatorial Guinea,SSA,Sub Saharn Africa,17,171,4,2.548162,17,172,4,2.548162,16,174,4,2.596128,16,173,4,2.997751,16,172,3,2.82,17,171,3,3.56,,,,,,,,,,19,3,2.2,20,3,1.3
Haiti,AME,"North, Central, and South America",17,171,6,1.343835,20,164,6,0.7415972,18,170,6,2.47075,18,168,6,3.234971,20,161,6,2.47,22,157,6,2.05,20,5,1.81,17,5,2.74,19,5,2.86,19,5,3.1,19,5,2.8
"Korea, North",AP,Asia Pacific,17,171,4,3.775732,16,174,4,2.570172,18,170,4,3.455656,17,172,4,3.159824,14,176,4,1.39,17,171,4,4.18,12,3,1.39,8,3,3.38,8,3,3.35,8,3,3.4,8,3,3.4
Libya,MENA,Middle East and North Africa,17,171,5,1.594005,17,172,5,1.71509,17,173,5,1.71509,18,168,5,2.241052,17,170,5,2.57,17,171,5,3.05,14,4,2,16,5,3.18,18,5,2.81,15,6,3.3,21,6,4
Yemen,MENA,Middle East and North Africa,16,176,7,1.975074,16,174,7,2.292554,15,176,7,1.333599,15,177,7,1.885994,14,176,7,1.45,16,175,7,1.85,14,7,3.05,18,6,2.66,19,6,2.37,18,6,2.6,23,6,2.2
Venezuela,AME,"North, Central, and South America",14,177,8,1.296945,14,177,8,0.9911299,15,176,8,0.9144296,16,173,8,2.048858,18,168,8,2.13,18,169,8,1.6,17,7,1.41,17,7,2.64,19,7,1.69,20,7,2.3,19,7,2.1
South Sudan,SSA,Sub Saharn Africa,13,178,5,1.899278,11,180,5,0.4090756,12,179,5,1.108644,12,179,5,1.263942,13,178,5,1.86,12,179,5,1.56,11,5,3.21,15,3,1.45,15,3,2.35,14,3,1.6,,,
Syria,MENA,Middle East and North Africa,13,178,5,1.56891,13,178,5,1.578473,14,178,5,1.576392,13,178,5,1.921515,13,178,5,1.92,14,178,5,1.93,13,5,1.97,18,4,5.66,20,4,5.31,17,4,3.8,26,5,2.7
Somalia,SSA,Sub Saharn Africa,12,180,6,1.738225,13,178,6,1.891675,12,179,6,2.292273,9,180,5,1.740826,10,180,6,3.08,9,180,5,2.26,10,5,2.98,8,4,2.32,8,4,2.34,8,4,1.9,8,4,2.3
Brunei Darussalam,AP,Asia Pacific,,,,,,,,,60,35,3,5.585083,60,35,3,6.118152,63,31,3,6.62,62,32,3,8.72,58,3,8.85,,,,,,,60,3,10.4,55,3,9.1
