Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Kuwait,MENA,Middle East and North Africa,42,77,6,1.73636,43,73,6,2.000104,42,78,6,1.88292,40,85,6,1.879429,41,78,6,3.47,39,85,6,2.47,41,5,2.67,49,5,4.51,44,5,5.24,43,5,3.9,44,5,3.9
Solomon Islands,AP,Asia Pacific,42,77,3,7.67204,43,73,3,7.313673,42,78,3,7.800267,42,77,3,8.689651,44,70,3,7.38,39,85,3,3.71,42,3,3.34,,,,,,,,,,,,
Timor-Leste,AP,Asia Pacific,42,77,4,5.034718,41,82,4,3.684245,40,86,4,2.707735,38,93,4,4.49538,35,105,3,4.81,38,91,3,7.5,35,3,5.97,28,3,5.17,28,3,5.18,30,3,3.2,33,3,5.6
Trinidad and Tobago,AME,"North, Central, and South America",42,77,7,3.860194,41,82,7,3.656795,40,86,7,3.733581,40,85,7,5.378127,41,78,6,5.8,41,77,6,5.47,35,5,2.48,39,4,4.64,38,4,4.82,38,4,5.1,39,4,4.5
Vietnam,AP,Asia Pacific,42,77,8,1.497007,39,87,8,0.8228995,36,104,8,1.808218,37,96,8,2.841134,33,117,8,2.84,35,107,8,2.78,33,8,2.46,31,8,2.56,31,8,2.55,31,8,2.6,31,8,2.5
Kosovo,ECA,Europe and Central Asia,41,84,6,2.576214,39,87,6,2.309925,36,104,6,0.6831663,36,101,5,0.8146842,37,93,5,1.49,39,85,5,2.13,36,5,3.17,33,3,2.19,33,3,2.33,33,3,2.3,34,3,1.5
Guyana,AME,"North, Central, and South America",40,85,5,2.183024,39,87,5,2.13326,41,83,5,3.539517,40,85,5,3.337288,37,93,5,0.77,38,91,5,1.84,34,6,3.57,29,4,3.01,30,4,3.03,27,4,2.9,28,4,2.1
India,AP,Asia Pacific,40,85,9,1.182201,40,85,9,1.173647,40,86,9,1.141572,41,80,9,1.604926,41,78,9,2.42,40,81,9,2.16,40,8,2.47,38,8,3.14,38,9,2.27,36,10,2.2,36,10,2.1
Tunisia,MENA,Middle East and North Africa,40,85,7,1.123165,44,70,7,1.899039,44,69,7,2.827469,43,74,7,3.941079,43,73,7,3.86,42,74,7,3.73,41,7,3.9,38,6,2.17,40,6,1.72,41,7,1.9,41,7,2.8
Maldives,AP,Asia Pacific,40,85,3,4.832095,40,85,3,4.39211,43,75,3,7.69273,29,130,3,2.569968,31,124,3,2.24,33,112,3,1.71,36,3,5.66,,,,,,,,,,,,
North Macedonia,ECA,Europe and Central Asia,40,85,7,1.954688,39,87,7,1.661591,35,111,7,2.44184,35,106,7,3.56274,37,93,7,3.38,35,107,6,4.49,37,7,4.97,42,6,5.27,45,6,5.92,44,6,5,43,6,4.7
Suriname,AME,"North, Central, and South America",40,85,4,5.380863,39,87,4,4.289223,38,94,4,1.686898,44,70,4,4.763029,43,73,4,3.22,41,77,4,4.08,45,4,7.53,36,3,3.21,36,3,3.25,36,3,3.2,37,3,3.2
Belarus,ECA,Europe and Central Asia,39,91,7,3.135647,41,82,8,2.345835,47,63,7,3.376054,45,66,7,4.20046,44,70,7,3.92,44,68,7,4.12,40,7,3.93,32,6,4.37,31,5,4.04,29,5,4,31,5,3.6
Colombia,AME,"North, Central, and South America",39,91,8,1.379437,39,87,8,1.454743,39,92,8,1.588306,37,96,8,2.493945,36,99,8,2.51,37,96,8,2.77,37,8,2.27,37,7,1.94,37,7,1.68,36,7,2,36,7,2.6
Moldova,ECA,Europe and Central Asia,39,91,8,1.646075,36,105,7,1.34492,34,115,9,1.237908,32,120,9,2.395228,33,117,9,2.13,31,122,9,1.54,30,9,2.18,33,8,2.88,35,8,2.7,35,8,2.8,36,8,2.6
Argentina,AME,"North, Central, and South America",38,94,7,2.334808,38,96,8,2.099133,42,78,8,2.318056,45,66,8,3.288657,40,85,8,2.7,39,85,8,2.92,36,8,1.76,32,7,1.84,34,7,2.42,34,8,2.4,35,8,2.6
Brazil,AME,"North, Central, and South America",38,94,8,1.576192,38,96,8,1.613992,38,94,8,2.499375,35,106,8,4.060288,35,105,8,4.05,37,96,8,4.24,40,8,4.34,38,7,5.29,43,7,4.01,42,8,3.7,43,8,3.3
Ethiopia,SSA,Sub Saharn Africa,38,94,8,1.31184,39,87,8,1.212617,38,94,9,1.002015,37,96,9,1.516015,34,114,8,1.52,35,107,9,1.36,34,9,1.37,33,8,2.73,33,8,2.54,33,8,2.5,33,8,1.6
Morocco,MENA,Middle East and North Africa,38,94,7,1.79714,39,87,6,2.474511,40,86,7,2.215573,41,80,7,3.150518,43,73,7,3.68,40,81,7,2.6,37,7,1.74,36,6,3.85,39,6,3.57,37,8,2.9,37,8,3.2
Tanzania,SSA,Sub Saharn Africa,38,94,9,0.994391,39,87,9,1.394554,38,94,9,0.8037881,37,96,9,1.918592,36,99,9,1.83,36,103,9,1.55,32,9,1.84,30,8,3.49,31,8,3.2,33,8,2.7,35,8,2.1
Cote d'Ivoire,SSA,Sub Saharn Africa,37,99,9,1.9721,36,105,9,1.403537,36,104,9,1.458328,35,106,9,2.488668,35,105,9,2.05,36,103,8,2.03,34,8,2.03,32,8,2.65,32,8,4.2,27,8,2.3,29,8,2.4
Lesotho,SSA,Sub Saharn Africa,37,99,6,3.874885,38,96,6,4.002569,41,83,6,3.237793,40,85,6,3.949422,41,78,6,3.67,42,74,6,4.08,39,5,6.15,44,5,4.99,49,5,3.55,49,5,3.6,45,5,4.6
Albania,ECA,Europe and Central Asia,36,101,8,1.316355,35,110,8,1.326029,36,104,8,0.915488,35,106,8,2.507669,36,99,8,1.65,38,91,8,1.81,39,7,1.99,36,7,3.58,33,7,1.51,31,7,2.1,33,7,2
Ecuador,AME,"North, Central, and South America",36,101,7,1.071171,36,105,7,1.576255,39,92,7,1.732201,38,93,7,2.19252,34,114,7,3.46,32,117,7,2.66,31,6,1.96,32,6,2.86,33,5,3.56,35,6,3.6,32,6,2.9
Kazakhstan,ECA,Europe and Central Asia,36,101,9,3.287702,37,102,9,3.331854,38,94,9,3.116287,34,113,9,4.176606,31,124,9,3.6,31,122,9,3.59,29,9,3.35,28,8,4.9,29,8,4.4,26,8,3.3,28,8,4.1
Panama,AME,"North, Central, and South America",36,101,7,1.082802,36,105,7,1.017901,35,111,7,0.7690077,36,101,7,1.374419,37,93,7,1.76,37,96,7,1.79,38,6,2.29,39,6,3.01,37,6,3.49,35,6,2.2,38,6,3.1
Peru,AME,"North, Central, and South America",36,101,8,1.434337,36,105,8,1.839955,38,94,8,1.979993,36,101,8,3.065588,35,105,8,3.1,37,96,8,3.35,35,7,2.04,36,7,3.05,38,7,2.63,38,7,2.5,38,7,2.1
Serbia,ECA,Europe and Central Asia,36,101,8,1.33137,38,96,8,1.424244,38,94,8,1.659292,39,91,8,2.484553,39,87,8,2.89,41,77,8,2.8,42,7,3.69,40,7,3.9,41,7,2.92,42,7,3.4,39,7,2.6
Sri Lanka,AP,Asia Pacific,36,101,7,0.8000863,37,102,7,0.9939778,38,94,8,1.169462,38,93,7,2.113032,38,89,7,1.85,38,91,7,1.82,36,7,1.64,37,7,2.09,38,7,2.18,37,7,2.1,40,7,1.3
Thailand,AP,Asia Pacific,36,101,9,1.091841,35,110,9,0.8400027,36,104,9,1.307877,36,101,9,2.448041,36,99,9,2.08,37,96,9,2.03,35,9,2.44,38,8,2.12,38,8,1.6,35,8,1.2,37,8,1.6
Turkey,ECA,Europe and Central Asia,36,101,9,1.505927,38,96,9,2.096217,40,86,9,2.055156,39,91,9,3.337019,41,78,9,3.03,40,81,8,1.8,41,9,1.8,42,8,2.02,45,8,2.69,50,9,2.4,49,9,2.1
Bosnia and Herzegovina,ECA,Europe and Central Asia,34,110,7,2.184636,35,110,7,1.801027,35,111,7,1.867208,36,101,7,1.952692,38,89,7,1.86,38,91,7,2.56,39,7,1.7,38,6,1.71,39,6,1.15,42,7,2.9,42,7,2.3
Gambia,SSA,Sub Saharn Africa,34,110,7,3.762664,37,102,8,3.383628,37,102,8,3.193978,37,96,7,5.980328,37,93,6,9.44,30,130,6,6.22,26,5,7.2,28,5,6.67,29,5,7.55,28,5,6.7,34,5,7
Indonesia,AP,Asia Pacific,34,110,8,1.783472,38,96,9,2.138731,37,102,9,1.708278,40,85,9,3.756684,38,89,9,3.35,37,96,9,3.12,37,8,2.39,36,8,3.39,34,8,3.57,32,9,3.5,32,9,2.9
Malawi,SSA,Sub Saharn Africa,34,110,9,1.707906,35,110,9,1.694355,30,129,9,1.156581,31,123,9,1.779217,32,120,9,2.61,31,122,9,1.85,31,9,2.11,31,8,2.41,33,8,3.03,37,8,1.7,37,8,1.5
Nepal,AP,Asia Pacific,34,110,6,0.9336739,33,117,6,0.5357912,33,117,6,1.350671,34,113,6,1.759387,31,124,6,1.85,31,122,6,2,29,6,2.33,27,5,2.73,29,5,2.2,31,5,1.4,27,5,2.4
Sierra Leone,SSA,Sub Saharn Africa,34,110,9,1.725161,34,115,9,1.835758,33,117,8,2.420917,33,119,8,3.465013,30,129,9,2.17,30,130,9,1.95,30,8,2.94,29,8,3.44,31,8,2.3,30,8,2.4,31,8,1.9
Angola,SSA,Sub Saharn Africa,33,116,7,2.807703,29,136,7,1.526104,27,142,7,2.011135,26,146,7,1.821627,19,165,6,1.31,19,167,5,1.28,18,4,1.68,15,5,1.8,19,6,1.71,23,7,2.8,22,7,1.8
El Salvador,AME,"North, Central, and South America",33,116,7,1.910915,34,115,7,1.591921,36,104,7,1.378282,34,113,7,2.563654,35,105,7,2.59,33,112,7,3.25,36,7,2.76,39,6,2.26,39,6,1.98,38,6,2,38,6,2.8
Mongolia,AP,Asia Pacific,33,116,8,0.8162061,35,110,8,0.5707226,35,111,9,0.7091675,35,106,9,1.887561,37,93,9,1.94,36,103,9,1.4,38,9,1.7,39,8,1.76,39,7,2.13,38,7,2.2,36,7,2.6
Algeria,MENA,Middle East and North Africa,33,116,6,1.673809,33,117,7,1.07623,36,104,7,1.481484,35,106,7,2.590262,35,105,6,1.21,33,112,6,2.32,34,6,2.94,36,5,1.85,36,5,2.06,36,6,2.8,34,6,3.3
Philippines,AP,Asia Pacific,33,116,9,0.9319923,33,117,9,0.9365137,34,115,9,0.9200366,34,113,9,1.585877,36,99,9,1.55,34,111,9,1.9,35,9,1.58,35,8,1.92,38,8,1.84,36,9,2.5,34,9,2.2
Ukraine,ECA,Europe and Central Asia,33,116,8,1.440567,32,122,9,1.294409,33,117,9,1.31305,30,126,9,2.380559,32,120,9,2.27,30,130,9,2.27,29,9,1.97,27,8,1.93,26,8,1.64,25,8,1.7,26,8,1.8
